,,,
Number,Frequency/Hz,Re/Ohm,Im/Ohm
1,1.1307e+03,2.7245e+00,-2.2595e+00
2,1.4176e+03,2.2471e+00,-2.2187e+00
3,1.7774e+03,1.8044e+00,-2.0927e+00
4,2.2284e+03,1.4254e+00,-1.9035e+00
5,2.7940e+03,1.1150e+00,-1.6838e+00
6,3.5030e+03,8.7399e-01,-1.4576e+00
7,4.3920e+03,6.9527e-01,-1.2405e+00
8,5.5066e+03,5.6181e-01,-1.0438e+00
9,6.9041e+03,4.6399e-01,-8.7178e-01
10,8.6563e+03,3.9205e-01,-7.2204e-01
11,1.0853e+04,3.3943e-01,-5.9700e-01
12,1.3607e+04,3.0076e-01,-4.9188e-01
13,1.7061e+04,2.7090e-01,-4.0408e-01
14,2.1390e+04,2.4885e-01,-3.3137e-01
15,2.6819e+04,2.3161e-01,-2.7068e-01
16,3.3625e+04,2.1575e-01,-2.2560e-01
17,4.2159e+04,2.0384e-01,-1.7479e-01
18,5.2858e+04,2.0291e-01,-1.3788e-01
19,6.6272e+04,1.9563e-01,-1.1735e-01
20,8.3091e+04,1.9584e-01,-8.3646e-02
21,1.0418e+05,1.8376e-01,-6.6684e-02
22,1.3062e+05,1.8648e-01,-4.6078e-02
23,1.6377e+05,1.8274e-01,-2.8487e-02
24,2.0533e+05,1.8503e-01,-4.9667e-03
25,2.5743e+05,1.8748e-01,1.5869e-02
26,3.2277e+05,1.8687e-01,3.1307e-02
27,4.0468e+05,1.8369e-01,4.5376e-02
28,5.0738e+05,1.8382e-01,6.7511e-02
29,6.3614e+05,1.9083e-01,9.2633e-02
30,7.9759e+05,1.8892e-01,1.2351e-01
31,1.0000e+06,2.0084e-01,1.5153e-01
32,7.9759e+05,1.9423e-01,1.2660e-01
33,6.3614e+05,1.8712e-01,9.3534e-02
34,5.0738e+05,1.8098e-01,6.7601e-02
35,4.0468e+05,1.8648e-01,4.9827e-02
36,3.2277e+05,1.8799e-01,3.2916e-02
37,2.5743e+05,1.7919e-01,1.6612e-02
38,2.0533e+05,1.8658e-01,-5.4564e-03
39,1.6377e+05,1.7935e-01,-2.4266e-02
40,1.3062e+05,1.8921e-01,-3.8507e-02
41,1.0418e+05,1.8288e-01,-6.5765e-02
42,8.3091e+04,1.8792e-01,-8.1694e-02
43,6.6272e+04,2.0063e-01,-1.1656e-01
44,5.2858e+04,2.0729e-01,-1.4174e-01
45,4.2159e+04,2.0792e-01,-1.8272e-01
46,3.3625e+04,2.1584e-01,-2.1552e-01
47,2.6819e+04,2.3344e-01,-2.7134e-01
48,2.1390e+04,2.5052e-01,-3.3260e-01
49,1.7061e+04,2.7319e-01,-4.0568e-01
50,1.3607e+04,3.0282e-01,-4.9397e-01
51,1.0853e+04,3.4253e-01,-5.9926e-01
52,8.6563e+03,3.9585e-01,-7.2573e-01
53,6.9041e+03,4.6880e-01,-8.7443e-01
54,5.5066e+03,5.6692e-01,-1.0477e+00
55,4.3920e+03,7.0151e-01,-1.2440e+00
56,3.5030e+03,8.8155e-01,-1.4612e+00
57,2.7940e+03,1.1236e+00,-1.6884e+00
58,2.2284e+03,1.4356e+00,-1.9079e+00
59,1.7774e+03,1.8165e+00,-2.0954e+00
60,1.4176e+03,2.2601e+00,-2.2210e+00
61,1.1307e+03,2.7371e+00,-2.2622e+00
62,9.0179e+02,3.2103e+00,-2.2128e+00
63,7.1926e+02,3.6478e+00,-2.0778e+00
64,5.7367e+02,4.0219e+00,-1.8853e+00
65,4.5755e+02,4.3270e+00,-1.6596e+00
66,3.6494e+02,4.5583e+00,-1.4322e+00
67,2.9107e+02,4.7302e+00,-1.2207e+00
68,2.3215e+02,4.8619e+00,-1.0279e+00
69,1.8516e+02,4.9553e+00,-8.6490e-01
70,1.4768e+02,5.0233e+00,-7.2745e-01
71,1.1779e+02,5.0768e+00,-6.1326e-01
72,9.3947e+01,5.1158e+00,-5.1991e-01
73,7.4931e+01,5.1475e+00,-4.4253e-01
74,5.9538e+01,5.1713e+00,-3.8600e-01
75,4.6991e+01,5.1949e+00,-3.3822e-01
76,3.6825e+01,5.2149e+00,-3.0330e-01
77,2.8642e+01,5.2360e+00,-2.8064e-01
78,2.2099e+01,5.2573e+00,-2.7032e-01
79,1.6907e+01,5.2849e+00,-2.6734e-01
80,1.2819e+01,5.3176e+00,-2.7829e-01
81,9.6267e+00,5.3631e+00,-2.9334e-01
82,7.1569e+00,5.4234e+00,-3.0593e-01
83,5.2641e+00,5.4950e+00,-3.2465e-01
84,3.8284e+00,5.5769e+00,-3.2415e-01
85,2.7515e+00,5.6625e+00,-3.0869e-01
86,1.9531e+00,5.7378e+00,-2.7591e-01
87,1.3686e+00,5.8012e+00,-2.4208e-01
88,9.4639e-01,5.8512e+00,-2.0706e-01
89,6.4562e-01,5.8931e+00,-1.7148e-01
90,4.3451e-01,5.9273e+00,-1.4479e-01
91,2.8857e-01,5.9532e+00,-1.2922e-01
92,1.8924e-01,5.9740e+00,-1.2425e-01
93,1.2266e-01,5.9953e+00,-1.2964e-01
94,7.8703e-02,6.0115e+00,-1.4864e-01
95,5.0090e-02,6.0391e+00,-1.8525e-01
96,3.1698e-02,6.0743e+00,-2.4678e-01
97,2.0000e-02,6.1376e+00,-3.3655e-01
